Date,Questions
"2019-01-28",25
"2019-01-14",21
"2018-12-24",15
"2018-12-10",23
"2018-12-03",24
"2018-11-26",22
"2018-11-19",28
"2018-11-12",24
"2018-11-05",24
"2018-10-22",23
"2018-10-08",13
"2018-10-01",20
"2018-09-03",15
"2018-08-27",18
"2018-08-20",20
"2018-08-06",17
"2018-07-30",22
"2018-06-11",25
"2018-06-04",18
"2018-04-30",27
"2018-04-23",26
"2018-04-16",22
"2018-04-02",25
"2018-03-26",20
"2018-03-19",22
"2018-03-05",29
"2018-02-26",22
"2018-01-29",21
"2018-01-22",14
"2018-01-15",22
"2018-01-08",12
"2018-01-01",10
"2017-11-27",27
"2017-11-06",17
"2017-10-30",14
"2017-10-09",23
"2017-10-02",16
"2017-09-25",14
"2017-09-11",23
"2017-08-28",21
"2017-08-07",23
"2017-07-24",19
"2017-07-17",30
"2017-07-03",19
"2017-06-26",26
"2017-06-19",20
"2017-06-05",25
"2017-05-29",20
"2017-05-15",15
"2017-05-01",21
"2017-03-20",29
"2017-03-13",28
"2017-02-20",21
"2017-01-30",23
"2017-01-23",20
"2016-12-26",17
"2016-12-19",18
"2016-11-28",19
"2016-11-14",17
"2016-10-31",11
"2016-10-03",17
"2016-09-26",18
"2016-09-19",20
"2016-09-12",12
"2016-09-05",12
"2016-08-29",20
"2016-08-22",22
"2016-08-01",15
"2016-07-25",26
"2016-07-18",22
"2016-07-11",22
"2016-06-27",25
"2016-05-09",33
"2016-05-02",18
"2016-04-25",24
"2016-04-11",13
"2016-04-04",18
"2016-03-28",20
"2016-03-21",22
"2016-03-14",20
"2016-02-29",21
"2016-02-15",21
"2016-02-08",16
"2016-01-04",9
"2015-12-21",5
"2015-11-30",15
"2015-11-23",12
"2015-11-16",14
"2015-11-02",9
"2015-10-26",18
"2015-10-05",11
"2015-09-21",7
"2015-08-31",7
"2015-08-17",11
"2015-08-10",10
"2015-07-27",7
"2015-07-13",11
"2015-07-06",2
"2015-06-29",14
"2015-06-22",6
"2015-06-15",6
"2015-06-08",2
"2015-06-01",4
"2015-05-18",7
"2015-05-04",13
"2015-04-27",6
"2015-03-30",3
"2015-03-23",6
"2015-03-16",6
"2015-03-09",2
"2015-03-02",2
"2015-02-23",4
"2015-02-16",6
"2015-02-09",6
"2015-01-12",5
"2014-12-08",1
"2014-11-24",1
"2014-11-17",2
"2014-10-20",1
"2014-10-13",2
"2014-09-22",1
"2014-09-08",2
"2014-08-11",1
"2014-08-04",2
"2014-07-14",1
"2014-08-18",2
"2014-09-01",1
"2014-09-29",3
"2014-10-27",5
"2014-12-01",3
"2014-12-15",2
"2014-12-22",4
"2015-01-05",3
"2015-01-19",6
"2015-01-26",2
"2015-02-02",1
"2015-04-06",2
"2015-04-13",6
"2015-04-20",3
"2015-05-11",11
"2015-05-25",7
"2015-07-20",5
"2015-08-03",13
"2015-08-24",9
"2015-09-07",8
"2015-09-14",9
"2015-09-28",11
"2015-10-12",16
"2015-10-19",9
"2015-11-09",13
"2015-12-07",16
"2015-12-14",21
"2015-12-28",15
"2016-01-11",12
"2016-01-18",18
"2016-01-25",14
"2016-02-01",21
"2016-02-22",11
"2016-03-07",21
"2016-04-18",25
"2016-05-16",22
"2016-05-23",20
"2016-05-30",20
"2016-06-06",20
"2016-06-13",6
"2016-06-20",27
"2016-07-04",15
"2016-08-08",18
"2016-08-15",9
"2016-10-10",10
"2016-10-17",18
"2016-10-24",17
"2016-11-07",19
"2016-11-21",9
"2016-12-05",14
"2016-12-12",13
"2017-01-02",16
"2017-01-09",26
"2017-01-16",25
"2017-02-06",22
"2017-02-13",33
"2017-02-27",26
"2017-03-06",17
"2017-03-27",30
"2017-04-03",18
"2017-04-10",22
"2017-04-17",22
"2017-04-24",25
"2017-05-08",21
"2017-05-22",23
"2017-06-12",19
"2017-07-10",31
"2017-07-31",23
"2017-08-14",28
"2017-08-21",21
"2017-09-04",17
"2017-09-18",21
"2017-10-16",12
"2017-10-23",21
"2017-11-13",18
"2017-11-20",21
"2017-12-04",20
"2017-12-11",18
"2017-12-18",16
"2017-12-25",13
"2018-02-05",24
"2018-02-12",20
"2018-02-19",19
"2018-03-12",23
"2018-04-09",19
"2018-05-07",26
"2018-05-14",16
"2018-05-21",16
"2018-05-28",15
"2018-06-18",16
"2018-06-25",24
"2018-07-02",20
"2018-07-09",18
"2018-07-16",14
"2018-07-23",19
"2018-08-13",21
"2018-09-10",18
"2018-09-17",16
"2018-09-24",15
"2018-10-15",25
"2018-10-29",23
"2018-12-17",13
"2018-12-31",12
"2019-01-07",19
"2019-01-21",25
"2019-02-04",25